#,"This file contains recorder deployment information. Each row contains a set of data concerning the deployment, frequencies, or the recorders. The first field in each row is the key to the rest of the line. If the key is a '#' the line is a comment. Each set of rows is provided with an initial comment row to indicate the purpose of each field in the row. The fields in each row are position dependent.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,clientId,location,period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deployment,cpai,chukchi,2009-summer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,The frequency points that has the calibration value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frequencyPoints,200,300,400,500,600,700,800,900,1000,1200,1300,1400,1500,2000,2500,3000,3500,4000,4500,5000,5500,6000,6500,7000,7500,8000,16000,32000,,,,,,,,,,,,,,,,,,,,,,,
#,recorderId,recorderMake,recorderVersion,stationId,hydrophoneId,hydrophoneMake,sampleRate,channels,bitsPerSample,fileStructure,startDate,startTime,driveNo,latitude,longitude,meters,dropDate,dropTime,recoveryDate,recoveryTime,vPerBit,sensitivity,sensitivityFrequencyPoint,Calibrations for Frequency Points,,,,,,,,,,,,,,,,,,,,,,,,,,,
recorder,012,AMAR,1,BG06,100,M15B,16000,1,24,0.3bd2823a.000000.1249177044.2009-08-02-01-37-24.wav,02-Aug-09,1:37:25,0,71.2054333,-163.3539,42.98,08-Aug-09,11:34:10,13-Oct-09,12:00:00,5.36E-7,-159.1,250,-159.1,-159.1,-159.3,-159.6,-159.3,-158.9,-159.0,-159.3,-159.0,-158.7,-158.6,-158.4,-158.2,-157.8,-158.8,-160.5,-160.7,-160.6,-160.7,-161.1,-161.4,-161.8,-162.0,-161.9,-161.6,-161.0,-162.8,-170.0
recorder,027,AMAR,1,BG07,3,M15B,16000,1,24,0.df528212.000000.1249240576.2009-08-02-19-16-16.wav,02-Aug-09,19:16:17,0,71.2773,-163.3494167,43.28,08-Aug-09,10:08:47,13-Oct-09,12:00:00,5.36E-7,-159.1,250,-159.1,-159.1,-159.3,-159.6,-159.3,-158.9,-159.0,-159.3,-159.0,-158.7,-158.6,-158.4,-158.2,-157.8,-158.8,-160.5,-160.7,-160.6,-160.7,-161.1,-161.4,-161.8,-162.0,-161.9,-161.6,-161.0,-162.8,-170.0
recorder,049,AMAR,1,BG08,124,M15B,16000,1,24,0.3528293.000000.1249240168.2009-08-02-19-09-28.wav,02-Aug-09,19:09:30,0,71.3490667,-163.34345,43.28,08-Aug-09,7:48:00,13-Oct-09,12:00:00,5.36E-7,-159.1,250,-159.1,-159.1,-159.3,-159.6,-159.3,-158.9,-159.0,-159.3,-159.0,-158.7,-158.6,-158.4,-158.2,-157.8,-158.8,-160.5,-160.7,-160.6,-160.7,-161.1,-161.4,-161.8,-162.0,-161.9,-161.6,-161.0,-162.8,-170.0
recorder,037,AMAR,1,BG09,81,M15B,16000,1,24,0.bd5282b3.000000.1249240289.2009-08-02-19-11-29.wav,02-Aug-09,19:11:33,0,71.1812667,-163.1637667,43.59,08-Aug-09,13:42:10,13-Oct-09,12:00:00,5.36E-7,-159.1,250,-159.1,-159.1,-159.3,-159.6,-159.3,-158.9,-159.0,-159.3,-159.0,-158.7,-158.6,-158.4,-158.2,-157.8,-158.8,-160.5,-160.7,-160.6,-160.7,-161.1,-161.4,-161.8,-162.0,-161.9,-161.6,-161.0,-162.8,-170.0
recorder,041,AMAR,1,BG10,119,M15B,16000,1,24,0.835282da.000000.1249240691.2009-08-02-19-18-11.wav,02-Aug-09,19:18:12,0,71.2397667,-163.1588167,43.89,08-Aug-09,14:15:27,13-Oct-09,12:00:00,5.36E-7,-159.1,250,-159.1,-159.1,-159.3,-159.6,-159.3,-158.9,-159.0,-159.3,-159.0,-158.7,-158.6,-158.4,-158.2,-157.8,-158.8,-160.5,-160.7,-160.6,-160.7,-161.1,-161.4,-161.8,-162.0,-161.9,-161.6,-161.0,-162.8,-170.0
recorder,048,AMAR,1,BG11,7,M15B,16000,1,24,0.2852008a.000000.1249240814.2009-08-02-19-20-14.wav,02-Aug-09,19:20:14,0,71.3108,-163.1517833,44.2,08-Aug-09,15:13:21,13-Oct-09,12:00:00,5.36E-7,-159.1,250,-159.1,-159.1,-159.3,-159.6,-159.3,-158.9,-159.0,-159.3,-159.0,-158.7,-158.6,-158.4,-158.2,-157.8,-158.8,-160.5,-160.7,-160.6,-160.7,-161.1,-161.4,-161.8,-162.0,-161.9,-161.6,-161.0,-162.8,-170.0
recorder,023,AMAR,1,BG12,125,M15B,16000,1,24,0.a3528223.000000.1249239592.2009-08-02-18-59-52.wav,02-Aug-09,18:59:54,0,71.3741167,-163.1666,41.76,08-Aug-09,7:06:08,13-Oct-09,12:00:00,5.36E-7,-159.1,250,-159.1,-159.1,-159.3,-159.6,-159.3,-158.9,-159.0,-159.3,-159.0,-158.7,-158.6,-158.4,-158.2,-157.8,-158.8,-160.5,-160.7,-160.6,-160.7,-161.1,-161.4,-161.8,-162.0,-161.9,-161.6,-161.0,-162.8,-170.0
recorder,043,AMAR,1,CL05,4,M15B,16000,1,24,0.235282f3.000000.1249174082.2009-08-02-00-48-02.wav,02-Aug-09,0:48:07,0,68.9459833,-166.37275,29.26,05-Aug-09,14:03:00,06-Oct-09,8:21:00,5.36E-7,-159.1,250,-159.1,-159.1,-159.3,-159.6,-159.3,-158.9,-159.0,-159.3,-159.0,-158.7,-158.6,-158.4,-158.2,-157.8,-158.8,-160.5,-160.7,-160.6,-160.7,-161.1,-161.4,-161.8,-162.0,-161.9,-161.6,-161.0,-162.8,-170.0
recorder,038,AMAR,1,CL20,83,M15B,16000,1,24,0.c052828a.000000.1249174374.2009-08-02-00-52-54.wav,02-Aug-09,0:52:55,0,69.1276167,-166.8362,39.32,05-Aug-09,15:55:00,06-Oct-09,11:05:00,5.36E-7,-159.1,250,-159.1,-159.1,-159.3,-159.6,-159.3,-158.9,-159.0,-159.3,-159.0,-158.7,-158.6,-158.4,-158.2,-157.8,-158.8,-160.5,-160.7,-160.6,-160.7,-161.1,-161.4,-161.8,-162.0,-161.9,-161.6,-161.0,-162.8,-170.0
recorder,014,AMAR,1,CL50,95,M15B,16000,1,24,0.a0d28222.000000.1249174562.2009-08-02-00-56-02.wav,02-Aug-09,0:56:04,0,69.4960333,-167.7834,45.72,05-Aug-09,20:36:00,06-Oct-09,17:20:00,5.36E-7,-159.1,250,-159.1,-159.1,-159.3,-159.6,-159.3,-158.9,-159.0,-159.3,-159.0,-158.7,-158.6,-158.4,-158.2,-157.8,-158.8,-160.5,-160.7,-160.6,-160.7,-161.1,-161.4,-161.8,-162.0,-161.9,-161.6,-161.0,-162.8,-170.0
recorder,013,AMAR,1,CLN120B,105,M15B,16000,1,24,,02-Aug-09,1:41:39,0,71.4856333,-166.3506333,42.37,07-Aug-09,17:41:00,10-Oct-09,20:07:00,5.36E-7,-159.1,250,-159.1,-159.1,-159.3,-159.6,-159.3,-158.9,-159.0,-159.3,-159.0,-158.7,-158.6,-158.4,-158.2,-157.8,-158.8,-160.5,-160.7,-160.6,-160.7,-161.1,-161.4,-161.8,-162.0,-161.9,-161.6,-161.0,-162.8,-170.0
